ref_area.label,indicator.label,source.label,sex.label,time,obs_value,note_indicator.label,note_source.label
Albania,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ALB - LFS - Labour Force Survey,Sex: Total,2013,43.03,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have a written contract nor social security coverage",Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ALB - LFS - Labour Force Survey,Sex: Male,2013,49.26,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have a written contract nor social security coverage",Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ALB - LFS - Labour Force Survey,Sex: Female,2013,32.78,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have a written contract nor social security coverage",Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ALB - LFS - Labour Force Survey,Sex: Total,2016,31.93,,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ALB - LFS - Labour Force Survey,Sex: Male,2016,37.03,,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ALB - LFS - Labour Force Survey,Sex: Female,2016,24.27,,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Total,2014,21.52,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Total,2015,17.63,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Male,2015,22.74,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Female,2015,11.15,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Total,2016,23.76,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Male,2016,25.07,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Female,2016,22.26,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Total,2018,39.49,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use | Informal employees: Do not have a written contract nor social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are below a certain size; are not registered; are not households employing paid domestic workers; and are not producers of goods exclusively for own final use",Employment definition: Excluding own-use production workers | Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Male,2018,42.55,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use | Informal employees: Do not have a written contract nor social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are below a certain size; are not registered; are not households employing paid domestic workers; and are not producers of goods exclusively for own final use",Employment definition: Excluding own-use production workers | Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - LFS - Household Labour Force Survey,Sex: Female,2018,35.83,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use | Informal employees: Do not have a written contract nor social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are below a certain size; are not registered; are not households employing paid domestic workers; and are not producers of goods exclusively for own final use",Employment definition: Excluding own-use production workers | Population coverage: Excluding institutional population
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Total,2009,19.77,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Male,2009,24.84,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Female,2009,12.67,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Total,2012,19.15,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Total,2013,19.42,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old
Belarus,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BLR - LFS - Labour force survey,Sex: Total,2018,8.01,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, all contributing family workers, and producers exclusively for own final use | Informal employees: Do not have a written contract nor social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are not registered; have unregistered employees; are engaged in non-agricultural activities; and are not producers of goods exclusively for own final use",Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents
